,,,"Toronto, City [Census subdivision], Ontario",,,,,,"Toronto, Census division [Census division], Ontario"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Major field of study - Classification of Instructional Programs (CIP) 2016","    23. English language and literature/letters",,   31945,,   10210,,   21735,,   31945,,   10210,,   21735,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    24. Liberal arts and sciences; general studies and humanities",,   23775,,    8195,,   15585,,   23775,,    8195,,   15580,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30A Interdisciplinary humanities",153,     665,,     275,,     390,,     670,,     275,,     390,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    38. Philosophy and religious studies",,    8015,,    4575,,    3440,,    8015,,    4575,,    3440,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    39. Theology and religious vocations",,    5475,,    3390,,    2080,,    5470,,    3390,,    2080,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    54. History",,   15360,,    7865,,    7495,,   15360,,    7870,,    7495,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    55. French language and literature/letters",,    3800,,     695,,    3100,,    3800,,     700,,    3100,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Social and behavioural sciences and law",,  215995,,   80305,,  135695,,  215995,,   80300,,  135695,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    05. Area; ethnic; cultural; gender; and group studies",,    3805,,     805,,    3000,,    3805,,     805,,    3000,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    09. Communication; journalism and related programs",,   27655,,   10905,,   16755,,   27660,,   10905,,   16755,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    19. Family and consumer sciences/human sciences",,   26595,,    2885,,   23710,,   26595,,    2885,,   23710,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    22. Legal professions and studies",,   38050,,   16600,,   21445,,   38050,,   16600,,   21445,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30B Interdisciplinary social and behavioural sciences",154,    3800,,     945,,    2855,,    3800,,     945,,    2855,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    42. Psychology",,   29555,,    7530,,   22020,,   29555,,    7530,,   22020,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    45. Social sciences",,   86530,,   40630,,   45900,,   86530,,   40630,,   45900,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Business; management and public administration",,  316575,,  143790,,  172785,,  316575,,  143795,,  172785,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.16 Accounting and computer science",,     610,,     255,,     350,,     605,,     260,,     350,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    44. Public administration and social service professions",,   22585,,    5035,,   17545,,   22580,,    5035,,   17545,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    52. Business; management; marketing and related support services",,  293385,,  138500,,  154885,,  293390,,  138500,,  154885,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Physical and life sciences and technologies",,   63185,,   30155,,   33035,,   63185,,   30155,,   33030,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    26. Biological and biomedical sciences",,   29170,,   12000,,   17165,,   29170,,   12005,,   17165,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.01 Biological and physical sciences",,   13410,,    5860,,    7545,,   13410,,    5860,,    7545,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30C Other interdisciplinary physical and life sciences",155,    1380,,     425,,     955,,    1375,,     425,,     955,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    40. Physical sciences",,   17275,,   11180,,    6095,,   17275,,   11180,,    6095,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    41. Science technologies/technicians",,    1955,,     695,,    1265,,    1955,,     690,,    1265,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Mathematics; computer and information sciences",,   76440,,   49500,,   26940,,   76435,,   49500,,   26940,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    11. Computer and information sciences and support services",,   57245,,   39505,,   17740,,   57245,,   39505,,   17745,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    25. Library science",,    3700,,     670,,    3025,,    3700,,     670,,    3025,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    27. Mathematics and statistics",,   14350,,    8495,,    5850,,   14345,,    8490,,    5855,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30D Interdisciplinary mathematics; computer and information sciences",156,    1140,,     825,,     315,,    1145,,     825,,     315,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Architecture; engineering; and related technologies",,  203235,,  170735,,   32495,,  203235,,  170735,,   32500,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    04. Architecture and related services",,   18005,,   11125,,    6880,,   18005,,   11130,,    6880,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    14. Engineering",,   93105,,   73095,,   20010,,   93100,,   73100,,   20010,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    15. Engineering technologies and engineering-related fields",,   31630,,   28215,,    3415,,   31630,,   28215,,    3415,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.12 Historic preservation and conservation",,      90,,      20,,      60,,      90,,      25,,      60,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    46. Construction trades",,   25275,,   24510,,     765,,   25275,,   24510,,     770,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    47. Mechanic and repair technologies/technicians",,   23105,,   22350,,     755,,   23105,,   22355,,     755,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    48. Precision production",,   12020,,   11410,,     605,,   12020,,   11410,,     610,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Agriculture; natural resources and conservation",,   14385,,    7115,,    7275,,   14385,,    7115,,    7275,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    01. Agriculture; agriculture operations and related sciences",,    7765,,    4080,,    3685,,    7765,,    4080,,    3685,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    03. Natural resources and conservation",,    6625,,    3035,,    3590,,    6620,,    3035,,    3585,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Health and related fields",,  161615,,   40265,,  121350,,  161620,,   40265,,  121345,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    31. Parks; recreation; leisure and fitness studies",,   12375,,    6250,,    6130,,   12375,,    6245,,    6130,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    51. Health professions and related programs",,  142005,,   30130,,  111870,,  142000,,   30130,,  111875,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    60. Dental; medical and veterinary residency programs",,    7235,,    3890,,    3345,,    7235,,    3890,,    3345,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Personal; protective and transportation services",,   49585,,   24090,,   25495,,   49580,,   24085,,   25500,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    12. Personal and culinary services",,   33385,,   11715,,   21670,,   33390,,   11715,,   21675,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    28. Military science; leadership and operational art",,     210,,     185,,      25,,     210,,     185,,      25,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    29. Military technologies and applied sciences",,     220,,     195,,      25,,     215,,     195,,      25,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    43. Security and protective services",,    9475,,    6475,,    3005,,    9480,,    6475,,    3005,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    49. Transportation and materials moving",,    6290,,    5525,,     765,,    6290,,    5525,,     765,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Other",,     210,,      85,,     130,,     210,,      80,,     130,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.99 Multidisciplinary/interdisciplinary studies; other",,     205,,      80,,     125,,     210,,      80,,     130,
"Major field of study - Classification of Instructional Programs (CIP) 2016","Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 25 to 64 years in private households - 25% sample data",151, 1554815,,  745240,,  809575,, 1554815,,  745235,,  809575,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  No postsecondary certificate; diploma or degree",152,  476880,,  242535,,  234340,,  476875,,  242535,,  234345,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Education",,   48015,,   10310,,   37710,,   48015,,   10310,,   37710,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    13. Education",,   48015,,   10310,,   37710,,   48015,,   10310,,   37705,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Visual and performing arts; and communications technologies",,   70630,,   32800,,   37825,,   70625,,   32800,,   37825,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    10. Communications technologies/technicians and support services",,    8240,,    6095,,    2145,,    8240,,    6095,,    2150,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    50. Visual and performing arts",,   62385,,   26710,,   35680,,   62385,,   26710,,   35680,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Humanities",,   77355,,   28940,,   48420,,   77355,,   28940,,   48420,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    16. Aboriginal and foreign languages; literatures and linguistics",,    9450,,    2160,,    7290,,    9450,,    2160,,    7295,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    23. English language and literature/letters",,   24570,,    7840,,   16730,,   24570,,    7840,,   16725,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    24. Liberal arts and sciences; general studies and humanities",,   18350,,    6360,,   11985,,   18345,,    6365,,   11985,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30A Interdisciplinary humanities",153,     545,,     235,,     310,,     545,,     240,,     310,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    38. Philosophy and religious studies",,    6215,,    3600,,    2615,,    6215,,    3600,,    2610,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    39. Theology and religious vocations",,    3875,,    2365,,    1515,,    3875,,    2360,,    1515,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    54. History",,   11710,,    5965,,    5745,,   11710,,    5965,,    5745,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    55. French language and literature/letters",,    2645,,     405,,    2240,,    2645,,     405,,    2240,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Social and behavioural sciences and law",,  176260,,   64440,,  111820,,  176260,,   64440,,  111820,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    05. Area; ethnic; cultural; gender; and group studies",,    3110,,     680,,    2430,,    3110,,     680,,    2430,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    09. Communication; journalism and related programs",,   23490,,    9350,,   14145,,   23490,,    9350,,   14145,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    19. Family and consumer sciences/human sciences",,   20460,,    2080,,   18380,,   20460,,    2080,,   18380,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    22. Legal professions and studies",,   32410,,   13120,,   19285,,   32410,,   13120,,   19290,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30B Interdisciplinary social and behavioural sciences",154,    3140,,     795,,    2340,,    3140,,     800,,    2340,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    42. Psychology",,   23045,,    5665,,   17385,,   23050,,    5665,,   17385,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    45. Social sciences",,   70605,,   32750,,   37850,,   70600,,   32750,,   37855,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Business; management and public administration",,  259240,,  116620,,  142625,,  259240,,  116615,,  142625,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.16 Accounting and computer science",,     525,,     200,,     325,,     525,,     205,,     325,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    44. Public administration and social service professions",,   18355,,    4125,,   14230,,   18355,,    4125,,   14235,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    52. Business; management; marketing and related support services",,  240360,,  112290,,  128070,,  240360,,  112295,,  128070,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Physical and life sciences and technologies",,   48020,,   22475,,   25540,,   48020,,   22480,,   25540,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    26. Biological and biomedical sciences",,   22455,,    9165,,   13290,,   22460,,    9165,,   13290,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.01 Biological and physical sciences",,   10355,,    4475,,    5880,,   10350,,    4475,,    5880,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30C Other interdisciplinary physical and life sciences",155,    1100,,     355,,     745,,    1105,,     360,,     750,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    40. Physical sciences",,   12630,,    7955,,    4685,,   12635,,    7955,,    4680,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    41. Science technologies/technicians",,    1470,,     525,,     945,,    1470,,     525,,     945,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Mathematics; computer and information sciences",,   66520,,   43645,,   22875,,   66520,,   43640,,   22875,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    11. Computer and information sciences and support services",,   51580,,   35780,,   15795,,   51575,,   35780,,   15795,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    25. Library science",,    2500,,     490,,    2005,,    2500,,     490,,    2005,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    27. Mathematics and statistics",,   11420,,    6635,,    4785,,   11420,,    6635,,    4785,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30D Interdisciplinary mathematics; computer and information sciences",156,    1020,,     735,,     290,,    1020,,     730,,     285,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Architecture; engineering; and related technologies",,  154980,,  127815,,   27160,,  154975,,  127820,,   27160,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    04. Architecture and related services",,   14855,,    8910,,    5940,,   14855,,    8915,,    5935,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    14. Engineering",,   75175,,   58020,,   17155,,   75175,,   58025,,   17155,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    15. Engineering technologies and engineering-related fields",,   23075,,   20580,,    2495,,   23075,,   20575,,    2500,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.12 Historic preservation and conservation",,      80,,      20,,      60,,      80,,      20,,      65,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    46. Construction trades",,   17955,,   17415,,     540,,   17955,,   17415,,     545,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    47. Mechanic and repair technologies/technicians",,   16100,,   15580,,     520,,   16100,,   15575,,     520,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    48. Precision production",,    7735,,    7290,,     445,,    7735,,    7295,,     445,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Agriculture; natural resources and conservation",,   11710,,    5595,,    6120,,   11710,,    5590,,    6120,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    01. Agriculture; agriculture operations and related sciences",,    6170,,    3075,,    3095,,    6175,,    3075,,    3095,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    03. Natural resources and conservation",,    5545,,    2520,,    3025,,    5545,,    2515,,    3025,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Health and related fields",,  127480,,   31675,,   95805,,  127480,,   31675,,   95805,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    31. Parks; recreation; leisure and fitness studies",,    9425,,    4835,,    4585,,    9420,,    4835,,    4585,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    51. Health professions and related programs",,  112440,,   24045,,   88390,,  112435,,   24050,,   88390,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    60. Dental; medical and veterinary residency programs",,    5620,,    2795,,    2825,,    5620,,    2790,,    2825,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Personal; protective and transportation services",,   37545,,   18325,,   19225,,   37550,,   18325,,   19230,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    12. Personal and culinary services",,   24950,,    8690,,   16260,,   24945,,    8690,,   16255,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    28. Military science; leadership and operational art",,     155,,     130,,      25,,     155,,     130,,      25,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    29. Military technologies and applied sciences",,     110,,      95,,      15,,     110,,      95,,      15,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    43. Security and protective services",,    7280,,    4910,,    2370,,    7280,,    4910,,    2370,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    49. Transportation and materials moving",,    5050,,    4495,,     560,,    5055,,    4495,,     560,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Other",,     180,,      70,,     110,,     175,,      70,,     110,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.99 Multidisciplinary/interdisciplinary studies; other",,     180,,      70,,     110,,     180,,      65,,     115,
"Location of study compared with province or territory of residence with countries outside Canada","Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 15 years and over in private households - 25% sample data",157, 2294785,, 1092650,, 1202135,, 2294790,, 1092650,, 1202135,
"Location of study compared with province or territory of residence with countries outside Canada","  No postsecondary certificate; diploma or degree",,  938430,,  454470,,  483960,,  938430,,  454470,,  483960,
"Location of study compared with province or territory of residence with countries outside Canada","  Postsecondary certificate; diploma or degree",158, 1356360,,  638185,,  718175,, 1356360,,  638180,,  718170,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study inside Canada",,  929295,,  434085,,  495205,,  929295,,  434085,,  495205,
"Location of study compared with province or territory of residence with countries outside Canada","      Same as province or territory of residence",,  844385,,  392995,,  451390,,  844385,,  392995,,  451390,
"Location of study compared with province or territory of residence with countries outside Canada","      Different than province or territory of residence",,   84910,,   41095,,   43815,,   84910,,   41095,,   43815,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study outside Canada",159,  427060,,  204095,,  222970,,  427060,,  204095,,  222970,
"Location of study compared with province or territory of residence with countries outside Canada","      United States",160,   45380,,   24765,,   20620,,   45385,,   24765,,   20620,
"Location of study compared with province or territory of residence with countries outside Canada","      Philippines",,   58780,,   19975,,   38800,,   58780,,   19975,,   38805,
"Location of study compared with province or territory of residence with countries outside Canada","      India",,   42320,,   22130,,   20190,,   42320,,   22130,,   20190,
"Location of study compared with province or territory of residence with countries outside Canada","      United Kingdom",161,   28740,,   15215,,   13535,,   28745,,   15210,,   13530,
"Location of study compared with province or territory of residence with countries outside Canada","      China",162,   35475,,   16700,,   18775,,   35470,,   16700,,   18775,
"Location of study compared with province or territory of residence with countries outside Canada","      France",,    4875,,    2630,,    2245,,    4875,,    2630,,    2245,
"Location of study compared with province or territory of residence with countries outside Canada","      Other",,  211485,,  102685,,  108805,,  211490,,  102685,,  108805,
"Location of study compared with province or territory of residence with countries outside Canada","Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 25 to 64 years in private households - 25% sample data",157, 1554810,,  745235,,  809575,, 1554815,,  745235,,  809575,
"Location of study compared with province or territory of residence with countries outside Canada","  No postsecondary certificate; diploma or degree",,  476880,,  242535,,  234340,,  476875,,  242535,,  234345,
"Location of study compared with province or territory of residence with countries outside Canada","  Postsecondary certificate; diploma or degree",158, 1077935,,  502705,,  575230,, 1077935,,  502700,,  575230,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study inside Canada",,  739730,,  344335,,  395395,,  739730,,  344340,,  395395,
"Location of study compared with province or territory of residence with countries outside Canada","      Same as province or territory of residence",,  671340,,  310865,,  360475,,  671335,,  310865,,  360475,
"Location of study compared with province or territory of residence with countries outside Canada","      Different than province or territory of residence",,   68390,,   33470,,   34920,,   68395,,   33470,,   34920,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study outside Canada",159,  338205,,  158365,,  179835,,  338205,,  158370,,  179835,
"Location of study compared with province or territory of residence with countries outside Canada","      United States",160,   35025,,   18675,,   16350,,   35025,,   18680,,   16350,
"Location of study compared with province or territory of residence with countries outside Canada","      Philippines",,   50685,,   17040,,   33645,,   50685,,   17040,,   33645,
"Location of study compared with province or territory of residence with countries outside Canada","      India",,   36085,,   18480,,   17605,,   36085,,   18480,,   17605,
"Location of study compared with province or territory of residence with countries outside Canada","      United Kingdom",161,   18570,,    9775,,    8800,,   18570,,    9775,,    8800,
"Location of study compared with province or territory of residence with countries outside Canada","      China",162,   29550,,   13705,,   15845,,   29545,,   13710,,   15845,
"Location of study compared with province or territory of residence with countries outside Canada","      France",,    4050,,    2180,,    1865,,    4050,,    2185,,    1865,
"Location of study compared with province or territory of residence with countries outside Canada","      Other",,  164240,,   78510,,   85735,,  164240,,   78505,,   85735,
"Labour force status","Total - Population aged 15 years and over by Labour force status - 25% sample data",163, 2294790,, 1092655,, 1202135,, 2294790,, 1092655,, 1202135,
"Labour force status","  In the labour force",, 1483680,,  758150,,  725530,, 1483675,,  758150,,  725530,
"Labour force status","    Employed",, 1361375,,  697365,,  664010,, 1361375,,  697370,,  664005,
"Labour force status","    Unemployed",,  122305,,   60785,,   61520,,  122305,,   60780,,   61525,
"Labour force status","  Not in the labour force",,  811105,,  334505,,  476605,,  811110,,  334505,,  476605,
"Labour force status","Participation rate",, 64.7,, 69.4,, 60.4,, 64.7,, 69.4,, 60.4,
"Labour force status","Employment rate",, 59.3,, 63.8,, 55.2,, 59.3,, 63.8,, 55.2,
"Labour force status","Unemployment rate",,  8.2,,  8.0,,  8.5,,  8.2,,  8.0,,  8.5,
"Work activity during the reference year","Total population aged 15 years and over by work activity during the reference year - 25% sample data",164, 2294790,, 1092655,, 1202135,, 2294790,, 1092655,, 1202135,
"Work activity during the reference year","  Did not work",165,  791790,,  328280,,  463515,,  791795,,  328280,,  463510,
"Work activity during the reference year","  Worked",, 1502995,,  764375,,  738620,, 1502995,,  764380,,  738620,
"Work activity during the reference year","    Worked full year; full time",166,  750555,,  409195,,  341360,,  750555,,  409195,,  341360,
"Work activity during the reference year","    Worked part year and/or part time",167,  752445,,  355180,,  397260,,  752440,,  355180,,  397260,
"Work activity during the reference year","Average weeks worked in reference year",, 42.3,, 42.9,, 41.7,, 42.3,, 42.9,, 41.7,
"Class of worker","Total labour force aged 15 years and over by class of worker - 25% sample data",168, 1483680,,  758150,,  725530,, 1483675,,  758150,,  725530,
"Class of worker","  Class of worker - not applicable",169,   46135,,   21730,,   24405,,   46135,,   21730,,   24405,
"Class of worker","  All classes of workers",170, 1437545,,  736420,,  701125,, 1437540,,  736420,,  701125,
"Class of worker","    Employee",, 1254610,,  621175,,  633435,, 1254610,,  621175,,  633435,
"Class of worker","    Self-employed",171,  182930,,  115245,,   67690,,  182935,,  115245,,   67690,
"Occupation - National Occupational Classification (NOC) 2016","Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data",172, 1483680,,  758150,,  725530,, 1483675,,  758150,,  725530,
"Occupation - National Occupational Classification (NOC) 2016","  Occupation - not applicable",169,   46135,,   21730,,   24405,,   46135,,   21730,,   24405,
"Occupation - National Occupational Classification (NOC) 2016","  All occupations",170, 1437545,,  736420,,  701125,, 1437545,,  736420,,  701125,
"Occupation - National Occupational Classification (NOC) 2016","    0 Management occupations",,  163965,,   95505,,   68460,,  163965,,   95500,,   68465,
"Occupation - National Occupational Classification (NOC) 2016","    1 Business; finance and administration occupations",,  258870,,   98770,,  160100,,  258870,,   98770,,  160105,
"Occupation - National Occupational Classification (NOC) 2016","    2 Natural and applied sciences and related occupations",,  117635,,   88840,,   28795,,  117635,,   88840,,   28795,
"Occupation - National Occupational Classification (NOC) 2016","    3 Health occupations",,   84360,,   22000,,   62360,,   84360,,   22005,,   62360,
"Occupation - National Occupational Classification (NOC) 2016","    4 Occupations in education; law and social; community and government services",,  186795,,   60360,,  126435,,  186800,,   60360,,  126435,
"Occupation - National Occupational Classification (NOC) 2016","    5 Occupations in art; culture; recreation and sport",,   80195,,   40685,,   39510,,   80195,,   40685,,   39510,
"Occupation - National Occupational Classification (NOC) 2016","    6 Sales and service occupations",,  345145,,  163920,,  181220,,  345145,,  163920,,  181220,
"Occupation - National Occupational Classification (NOC) 2016","    7 Trades; transport and equipment operators and related occupations",,  131110,,  122835,,    8280,,  131115,,  122835,,    8275,
"Occupation - National Occupational Classification (NOC) 2016","    8 Natural resources; agriculture and related production occupations",,    7555,,    6240,,    1310,,    7555,,    6245,,    1315,
"Occupation - National Occupational Classification (NOC) 2016","    9 Occupations in manufacturing and utilities",,   61900,,   37255,,   24645,,   61900,,   37255,,   24645,
"Industry - North American Industry Classification System (NAICS) 2012","Total labour force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data",173, 1483680,,  758150,,  725530,, 1483680,,  758150,,  725530,
"Industry - North American Industry Classification System (NAICS) 2012","  Industry - NAICS2012 - not applicable",169,   46135,,   21730,,   24405,,   46135,,   21730,,   24405,
"Industry - North American Industry Classification System (NAICS) 2012","  All industry categories",170, 1437540,,  736415,,  701125,, 1437545,,  736420,,  701120,
"Industry - North American Industry Classification System (NAICS) 2012","    11 Agriculture; forestry; fishing and hunting",,    2095,,    1310,,     785,,    2095,,    1310,,     785,
"Industry - North American Industry Classification System (NAICS) 2012","    21 Mining; quarrying; and oil and gas extraction",,    2045,,    1345,,     695,,    2040,,    1350,,     695,
"Industry - North American Industry Classification System (NAICS) 2012","    22 Utilities",,    5915,,    3855,,    2060,,    5915,,    3855,,    2060,
"Industry - North American Industry Classification System (NAICS) 2012","    23 Construction",,   76475,,   68340,,    8145,,   76475,,   68335,,    8145,
"Industry - North American Industry Classification System (NAICS) 2012","    31-33 Manufacturing",,  105285,,   68745,,   36545,,  105285,,   68740,,   36545,
"Industry - North American Industry Classification System (NAICS) 2012","    41 Wholesale trade",,   50120,,   31390,,   18725,,   50115,,   31395,,   18725,
"Industry - North American Industry Classification System (NAICS) 2012","    44-45 Retail trade",,  141535,,   66885,,   74650,,  141540,,   66885,,   74650,
"Industry - North American Industry Classification System (NAICS) 2012","    48-49 Transportation and warehousing",,   57910,,   43835,,   14080,,   57910,,   43835,,   14080,
"Industry - North American Industry Classification System (NAICS) 2012","    51 Information and cultural industries",,   61350,,   35260,,   26090,,   61350,,   35260,,   26090,
"Industry - North American Industry Classification System (NAICS) 2012","    52 Finance and insurance",,  120005,,   60090,,   59920,,  120005,,   60085,,   59920,
"Industry - North American Industry Classification System (NAICS) 2012","    53 Real estate and rental and leasing",,   39935,,   22060,,   17880,,   39935,,   22060,,   17880,
"Industry - North American Industry Classification System (NAICS) 2012","    54 Professional; scientific and technical services",,  175685,,   98535,,   77150,,  175685,,   98535,,   77150,
"Industry - North American Industry Classification System (NAICS) 2012","    55 Management of companies and enterprises",,    4085,,    1760,,    2330,,    4080,,    1760,,    2330,
"Industry - North American Industry Classification System (NAICS) 2012","    56 Administrative and support; waste management and remediation services",,   78885,,   42905,,   35985,,   78890,,   42910,,   35980,
"Industry - North American Industry Classification System (NAICS) 2012","    61 Educational services",,  110275,,   38130,,   72150,,  110280,,   38130,,   72150,
"Industry - North American Industry Classification System (NAICS) 2012","    62 Health care and social assistance",,  143250,,   32215,,  111035,,  143250,,   32220,,  111030,
"Industry - North American Industry Classification System (NAICS) 2012","    71 Arts; entertainment and recreation",,   34995,,   18395,,   16600,,   34995,,   18395,,   16600,
"Industry - North American Industry Classification System (NAICS) 2012","    72 Accommodation and food services",,  106910,,   51155,,   55755,,  106905,,   51155,,   55755,
"Industry - North American Industry Classification System (NAICS) 2012","    81 Other services (except public administration)",,   67390,,   25505,,   41880,,   67390,,   25510,,   41880,
"Industry - North American Industry Classification System (NAICS) 2012","    91 Public administration",,   53395,,   24710,,   28680,,   53390,,   24710,,   28675,
"Place of work status","Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data",174, 1361375,,  697365,,  664005,, 1361375,,  697370,,  664010,
"Place of work status","  Worked at home",,  101275,,   52165,,   49115,,  101275,,   52165,,   49110,
"Place of work status","  Worked outside Canada",,    9045,,    5800,,    3240,,    9045,,    5800,,    3245,
"Place of work status","  No fixed workplace address",,  156250,,  108040,,   48210,,  156250,,  108040,,   48205,
